feature,fscore
Urea,0.0943579766536965
TG,0.08852140077821012
UA,0.053501945525291826
MCV,0.048638132295719845
AST,0.04669260700389105
MCHC,0.042801556420233464
ALP,0.04182879377431906
RDW,0.03988326848249027
ALT,0.038910505836575876
age_-1,0.03501945525291829
LDL_C,0.033073929961089495
WBC,0.030155642023346304
GGT,0.030155642023346304
TC,0.027237354085603113
AG,0.02529182879377432
age_5,0.02529182879377432
age_4,0.023346303501945526
RBC,0.02237354085603113
HGB,0.02237354085603113
Lymph,0.019455252918287938
Neutrophil,0.016536964980544747
HDL_C,0.016536964980544747
Cre,0.01556420233463035
age_1,0.01556420233463035
GLB,0.013618677042801557
MPV,0.01264591439688716
PDW,0.011673151750972763
age_2,0.011673151750972763
PLT,0.010700389105058366
TP,0.008754863813229572
MCH,0.008754863813229572
Basophil,0.007782101167315175
HBsAg,0.007782101167315175
PCV,0.007782101167315175
PCT,0.005836575875486381
Acidophilic,0.005836575875486381
age_6,0.005836575875486381
HBeAb,0.0048638132295719845
ALB,0.0048638132295719845
sex_w,0.0038910505836575876
HBsAb,0.0038910505836575876
HBcAb,0.0038910505836575876
sex_m,0.0038910505836575876
Monocytes,0.0019455252918287938
HbeAg,0.0009727626459143969
